"","AAPL","TSLA","SPY"
"2024-06-18",213.572189331055,184.860000610352,543.226013183594
"2024-06-20",208.977645874023,181.570007324219,541.750366210938
"2024-06-21",206.794982910156,183.009994506836,541.024047851562
"2024-06-24",207.442794799805,182.580001831055,539.265319824219
"2024-06-25",208.369689941406,187.350006103516,541.342041015625
"2024-06-26",212.535690307617,196.369995117188,542.017700195312
"2024-06-27",213.382843017578,197.419998168945,542.872131347656
"2024-06-28",209.914474487305,197.880004882812,540.73583984375
"2024-07-01",216.023956298828,209.860000610352,541.848754882812
"2024-07-02",219.532165527344,231.259994506836,545.495239257812
"2024-07-03",220.807876586914,246.389999389648,547.929626464844
"2024-07-05",225.581832885742,251.520004272461,551.089172363281
"2024-07-08",227.056884765625,252.940002441406,551.72509765625
"2024-07-09",227.913986206055,262.329986572266,552.261657714844
"2024-07-10",232.199584960938,263.260009765625,557.726440429688
"2024-07-11",226.807723999023,241.029998779297,552.917358398438
"2024-07-12",229.767761230469,248.229995727539,556.404907226562
"2024-07-15",233.614837646484,252.639999389648,557.935119628906
"2024-07-16",234.033432006836,256.559997558594,561.243713378906
"2024-07-17",228.113327026367,248.5,553.374450683594
"2024-07-18",223.429061889648,249.229995727539,549.121826171875
"2024-07-19",223.558624267578,239.199996948242,545.475341796875
"2024-07-22",223.209823608398,251.509994506836,551.099182128906
"2024-07-23",224.256286621094,246.380004882812,550.234680175781
"2024-07-24",217.807968139648,215.990005493164,537.765014648438
"2024-07-25",216.761489868164,220.25,534.963073730469
"2024-07-26",217.229919433594,219.800003051758,540.954467773438
"2024-07-29",217.508972167969,232.100006103516,541.2724609375
"2024-07-30",218.067092895508,222.619995117188,538.530090332031
"2024-07-31",221.33610534668,232.070007324219,547.28369140625
"2024-08-01",217.628555297852,216.860000610352,539.53369140625
"2024-08-02",219.123550415039,207.669998168945,529.488342285156
"2024-08-05",208.569030761719,198.880004882812,514.067749023438
"2024-08-06",206.535858154297,200.639999389648,518.807189941406
"2024-08-07",209.117172241211,191.759994506836,515.339538574219
"2024-08-08",212.595489501953,198.839996337891,527.252807617188
"2024-08-09",215.515686035156,200,529.577819824219
"2024-08-12",217.052291870117,197.490005493164,529.856018066406
"2024-08-13",220.784072875977,207.830001831055,538.56982421875
"2024-08-14",221.233093261719,201.380004882812,540.268920898438
"2024-08-15",224.226501464844,214.139999389648,549.529235839844
"2024-08-16",225.553588867188,216.119995117188,550.761291503906
"2024-08-19",225.393936157227,222.720001220703,556.02734375
"2024-08-20",226.012573242188,221.100006103516,555.123229980469
"2024-08-21",225.902801513672,223.270004272461,557.030944824219
"2024-08-22",224.036926269531,210.660003662109,552.659057617188
"2024-08-23",226.341842651367,220.320007324219,558.53125
"2024-08-26",226.681091308594,213.210006713867,557.199768066406
"2024-08-27",227.529220581055,209.210006713867,557.964904785156
"2024-08-28",225.992614746094,205.75,554.725769042969
"2024-08-29",229.285369873047,206.279998779297,554.775390625
"2024-08-30",228.497100830078,214.110000610352,560.0712890625
"2024-09-03",222.280776977539,210.600006103516,548.545593261719
"2024-09-04",220.365005493164,219.410003662109,547.422790527344
"2024-09-05",221.891632080078,230.169998168945,546.091369628906
"2024-09-06",220.335083007812,210.729995727539,536.900634765625
"2024-09-09",220.424865722656,216.270004272461,542.911865234375
"2024-09-10",219.62663269043,226.169998168945,545.276611328125
"2024-09-11",222.171020507812,228.130004882812,550.870544433594
"2024-09-12",222.280776977539,229.809997558594,555.510681152344
"2024-09-13",222.011383056641,230.289993286133,558.411987304688
"2024-09-16",215.844955444336,226.779998779297,559.236694335938
"2024-09-17",216.313903808594,227.869995117188,559.465209960938
"2024-09-18",220.205352783203,227.199996948242,557.805969238281
"2024-09-19",228.367385864258,243.919998168945,567.324584960938
"2024-09-20",227.698852539062,238.25,566.343872070312
"2024-09-23",225.97265625,250,567.759094238281
"2024-09-24",226.870681762695,254.270004272461,569.383605957031
"2024-09-25",225.87287902832,257.019989013672,568.127868652344
"2024-09-26",227.020355224609,254.220001220703,570.380310058594
"2024-09-27",227.289749145508,260.459991455078,569.553039550781
"2024-09-30",232.488327026367,261.630004882812,571.835388183594
"2024-10-01",225.713241577148,258.019989013672,566.712646484375
"2024-10-02",226.281982421875,249.020004272461,566.951843261719
"2024-10-03",225.174407958984,240.660003662109,565.915344238281
"2024-10-04",226.301940917969,250.080001831055,571.057983398438
"2024-10-07",221.203155517578,240.830001831055,565.895385742188
"2024-10-08",225.274200439453,244.5,571.247375488281
"2024-10-09",229.035919189453,241.050003051758,575.2041015625
"2024-10-10",228.537017822266,238.770004272461,574.197448730469
"2024-10-11",227.05029296875,217.800003051758,577.635864257812
"2024-10-14",230.792053222656,219.160003662109,582.359985351562
"2024-10-15",233.336456298828,219.570007324219,577.835205078125
"2024-10-16",231.27099609375,221.330001831055,580.346740722656
"2024-10-17",231.640182495117,220.889999389648,580.396545410156
"2024-10-18",234.483917236328,220.699996948242,582.629089355469
"2024-10-21",235.960678100586,218.850006103516,581.672302246094
"2024-10-22",235.342041015625,217.970001220703,581.363342285156
"2024-10-23",230.253234863281,213.649993896484,576.051208496094
"2024-10-24",230.063674926758,260.480010986328,577.296997070312
"2024-10-25",230.901809692383,269.190002441406,577.09765625
"2024-10-28",232.887435913086,262.510009765625,578.881713867188
"2024-10-29",233.156845092773,259.519989013672,579.818542480469
"2024-10-30",229.594680786133,257.549987792969,578.064453125
"2024-10-31",225.41389465332,249.850006103516,566.732604980469
"2024-11-01",222.420471191406,248.979995727539,569.12451171875
"2024-11-04",221.522445678711,242.839996337891,567.898620605469
"2024-11-05",222.959289550781,251.440002441406,574.765563964844
"2024-11-06",222.230895996094,288.529998779297,589.057434082031
"2024-11-07",226.980438232422,296.910003662109,593.612060546875
"2024-11-08",226.710739135742,321.220001220703,596.183471679688
"2024-11-11",223.983734130859,350,596.751525878906
"2024-11-12",223.983734130859,328.489990234375,594.897827148438
"2024-11-13",224.872756958008,330.239990234375,595.186828613281
"2024-11-14",227.969360351562,311.179992675781,591.359680175781
"2024-11-15",224.752883911133,320.720001220703,583.78515625
"2024-11-18",227.769577026367,338.739990234375,586.177124023438
"2024-11-19",228.029281616211,346,588.319885253906
"2024-11-20",228.748489379883,342.029998779297,588.519226074219
"2024-11-21",228.269027709961,339.640014648438,591.678588867188
"2024-11-22",229.617538452148,352.559997558594,593.512451171875
"2024-11-25",232.614242553711,338.589996337891,595.525695800781
"2024-11-26",234.801834106445,338.230010986328,598.635192871094
